accuracy,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,k,pr_auc,precision,recall,rho,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.47409466618236795,arp_mitm,49867,1.0,1282823,48,49867,0,0.6410044084472711,1234999,1300000,1234999,1300000,0,0.0,1282823,0.9913670387961614,0.25,0.7940274687416158,0.47167511979555987,1.0,0.99,0.837542560823697,0.008632961203838658,q99,334.91340198236855,11171,1145272
0.4748903973572378,arp_mitm,49867,1.0,1280882,41,49867,0,0.6413527817740029,1234999,1300000,1234999,1300000,0,0.0,1280882,0.9898670318409514,0.25,0.7940274687416158,0.47205247482229074,1.0,0.99,0.837542560823697,0.01013296815904865,q99_5,372.1650825671038,13112,1145272
0.47531757504101646,arp_mitm,49867,1.0,1279840,45,49867,0,0.6415399576068008,1234999,1300000,1234999,1300000,0,0.0,1279840,0.9890617730839556,0.25,0.7940274687416158,0.4722553020231643,1.0,0.99,0.837542560823697,0.010938226916044434,q99_9,388.71579535794075,14154,1145272
0.47409753589809395,arp_mitm,49867,1.0,1282816,47,49867,0,0.6410056641368348,1234999,1300000,1234999,1300000,0,0.0,1282816,0.9913616291883888,0.5,0.7940274687416158,0.47167647960040987,1.0,0.99,0.837542560823697,0.008638370811611182,q99,310.0466374780413,11178,1145272
0.4748961367886897,arp_mitm,49867,1.0,1280868,44,49867,0,0.6413552958885729,1234999,1300000,1234999,1300000,0,0.0,1280868,0.9898562126254064,0.5,0.7940274687416158,0.47205519879314467,1.0,0.99,0.837542560823697,0.0101437873745937,q99_5,347.49176272645394,13126,1145272
0.47532536426941546,arp_mitm,49867,1.0,1279821,43,49867,0,0.6415433716160673,1234999,1300000,1234999,1300000,0,0.0,1279821,0.9890470898628587,0.5,0.7940274687416158,0.4722590020259017,1.0,0.99,0.837542560823697,0.010952910137141286,q99_9,363.8833013075242,14173,1145272
0.4741274629335218,arp_mitm,49867,1.0,1282743,44,49867,0,0.6410187594783179,1234999,1300000,1234999,1300000,0,0.0,1282743,0.9913052147073325,1.0,0.7940274687416158,0.4716906608896568,1.0,0.99,0.837542560823697,0.008694785292667508,q99,261.0593163919938,11251,1145272
0.47493754268702143,arp_mitm,49867,1.0,1280767,45,49867,0,0.6413734340134477,1234999,1300000,1234999,1300000,0,0.0,1280767,0.9897781597132599,1.0,0.7940274687416158,0.4720748512286901,1.0,0.99,0.837542560823697,0.010221840286740124,q99_5,299.2556896019032,13227,1145272
0.4753729195585885,arp_mitm,49867,1.0,1279705,41,49867,0,0.641564215829204,1234999,1300000,1234999,1300000,0,0.0,1279705,0.9889574449340569,1.0,0.7940274687416158,0.4722815927738696,1.0,0.99,0.837542560823697,0.011042555065943118,q99_9,315.4571853581138,14289,1145272
0.00767327784500836,syn_dos,1113,1.0,2685509,257,1113,0,0.005214134765158348,2617348,2682349,2617348,2682349,0,0.0,2685509,0.9949141183230669,0.25,0.005520211028778554,0.0026138819489501947,1.0,0.9,0.711960334202841,0.005085881676933148,q99,18.811466096907406,13728,7038
0.008438536364560142,syn_dos,1113,1.0,2683438,266,1113,0,0.005218137885475292,2617348,2682349,2617348,2682349,0,0.0,2683438,0.994146864465773,0.25,0.005520211028778554,0.002615893990505769,1.0,0.9,0.711960334202841,0.005853135534226894,q99_5,21.41672969806928,15799,7038
0.009574045505353299,syn_dos,1113,1.0,2680365,314,1113,0,0.005224089152443864,2617348,2682349,2617348,2682349,0,0.0,2680365,0.9930083945944724,0.25,0.005520211028778554,0.00261888522115961,1.0,0.9,0.711960334202841,0.006991605405527562,q99_9,25.49024066427964,18872,7038
0.007729443607911243,syn_dos,1113,1.0,2685357,265,1113,0,0.005214428363289624,2617348,2682349,2617348,2682349,0,0.0,2685357,0.9948578061133572,0.5,0.005520211028778554,0.002614029516471394,1.0,0.9,0.711960334202841,0.005142193886642781,q99,16.525444118865853,13880,7038
0.008466249734413539,syn_dos,1113,1.0,2683363,263,1113,0,0.005218282971366544,2617348,2682349,2617348,2682349,0,0.0,2683363,0.9941190788359822,0.5,0.005520211028778554,0.002615966913482414,1.0,0.9,0.711960334202841,0.005880921164017831,q99_5,19.03152517555466,15874,7038
0.009687116054355157,syn_dos,1113,1.0,2680059,325,1113,0,0.005224682504774259,2617348,2682349,2617348,2682349,0,0.0,2680059,0.9928950292249255,0.5,0.005520211028778554,0.0026191834533699377,1.0,0.9,0.711960334202841,0.007104970775074586,q99_9,23.382389979054707,19178,7038
