accuracy,attack,attack_interval_count,attack_interval_detection_rate,benign_false_positive_count,continuous_alert_segments,detected_attack_intervals,detection_delay_rows,f1,first_attack_evaluation_index,first_attack_raw_index,first_detection_evaluation_index,first_detection_raw_index,fn,fnr,fp,fpr,k,pr_auc,precision,recall,roc_auc,specificity,threshold_method,threshold_value,tn,tp
0.46951500984312494,arp_mitm,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,0.5,0.9514335633380295,0.46951500984312494,1.0,0.9773912558408606,0.0,q99_5,4945.700746334664,0,1145272
0.46951500984312494,arp_mitm,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,0.5,0.9514335633380295,0.46951500984312494,1.0,0.9773912558408606,0.0,q99_9,4991.503552610666,0,1145272
0.46951500984312494,arp_mitm,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,1.0,0.9514335633380295,0.46951500984312494,1.0,0.9773912558756116,0.0,q99,3105.6936414644792,0,1145272
0.46951500984312494,arp_mitm,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,1.0,0.9514335633380295,0.46951500984312494,1.0,0.9773912558756116,0.0,q99_5,3119.268975823754,0,1145272
0.46951500984312494,arp_mitm,49867,1.0,1293994,1,49867,0,0.6390067562402743,1234999,1300000,1234999,1300000,0,0.0,1293994,1.0,1.0,0.9514335633380295,0.46951500984312494,1.0,0.9773912558756116,0.0,q99_9,3131.977005764051,0,1145272
0.0026006226270427063,syn_dos,1113,1.0,2699237,1,1113,0,0.005187753864003158,2617348,2682349,2617348,2682349,0,0.0,2699237,1.0,0.25,0.0475785005002259,0.0026006226270427063,1.0,0.976441031199883,0.0,q99,1900.8112769470436,0,7038
0.0026006226270427063,syn_dos,1113,1.0,2699237,1,1113,0,0.005187753864003158,2617348,2682349,2617348,2682349,0,0.0,2699237,1.0,0.25,0.0475785005002259,0.0026006226270427063,1.0,0.976441031199883,0.0,q99_5,1921.0786183407968,0,7038
0.0026006226270427063,syn_dos,1113,1.0,2699237,1,1113,0,0.005187753864003158,2617348,2682349,2617348,2682349,0,0.0,2699237,1.0,0.25,0.0475785005002259,0.0026006226270427063,1.0,0.976441031199883,0.0,q99_9,1935.7274036381086,0,7038
0.0026006226270427063,syn_dos,1113,1.0,2699237,1,1113,0,0.005187753864003158,2617348,2682349,2617348,2682349,0,0.0,2699237,1.0,0.5,0.0475785005002259,0.0026006226270427063,1.0,0.976441031199883,0.0,q99,898.3531616556685,0,7038
0.0026006226270427063,syn_dos,1113,1.0,2699237,1,1113,0,0.005187753864003158,2617348,2682349,2617348,2682349,0,0.0,2699237,1.0,0.5,0.0475785005002259,0.0026006226270427063,1.0,0.976441031199883,0.0,q99_5,904.6670539367751,0,7038
0.002601361650238797,syn_dos,1113,1.0,2699235,2,1113,0,0.00518775768793183,2617348,2682349,2617348,2682349,0,0.0,2699235,0.9999992590498722,0.5,0.0475785005002259,0.0026006245489645723,1.0,0.976441031199883,7.409501277583257e-07,q99_9,911.5079961713194,2,7038
